                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.1321,                  1.136,                  1.031,                  1.566,                0.95041,                0.47826,                0.50707,                0.40651,                0.95041,                0.47826,                 0.4688,                0.39565,                0.83323,                 1.0905,                0.88858,                 1.2547,             0.00072631,             0.00072631,             0.00072631
                     60,                  1.102,                  1.088,                 1.0058,                  1.527,                0.95642,                0.45652,                0.51298,                0.36773,                0.95642,                0.45652,                0.46323,                0.34969,                 1.0453,                   1.38,                 1.0119,                  1.401,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.3651,                 1.2751,                 1.1419,                 1.7344,                0.97893,                 0.4943,                0.55336,                0.41608,                0.97893,                 0.4943,                0.48229,                 0.3839,                0.92705,                 1.2833,                0.99496,                 1.3205,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.1759,                 1.0247,                0.98987,                 1.5672,                 0.9767,                0.47826,                0.54047,                0.38594,                 0.9767,                0.47826,                0.53042,                0.39372,                 1.0262,                 1.1012,                 1.1953,                 1.3567,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.0758,                  1.081,                0.92698,                 1.4503,                0.95966,                0.49561,                0.56835,                0.36857,                0.95966,                0.49561,                0.48544,                0.36457,                 1.1071,                 1.1877,                  1.247,                 1.4309,              0.0006603,              0.0006603,              0.0006603
                     64,                  1.015,                0.92122,                0.96727,                  1.486,                0.95999,                    0.5,                0.56631,                0.39247,                0.95999,                    0.5,                0.48985,                0.40034,                0.94068,                 1.0761,                 1.0247,                 1.2878,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.1627,                0.97276,                 1.0048,                  1.589,                0.97821,                0.47711,                0.55048,                0.38582,                0.97821,                0.47711,                0.48829,                0.39424,                0.96934,                 1.0328,                0.86737,                 1.2502,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.2022,                 1.0321,                 1.1364,                 1.5394,                0.95441,                0.47826,                0.51299,                0.34134,                0.95441,                0.47826,                 0.4868,                0.35957,                 1.1708,                 1.7114,                 1.1192,                  1.374,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.0841,                0.95963,                0.97481,                 1.4763,                0.99297,                0.45652,                0.51578,                0.35509,                0.99297,                0.45652,                0.48468,                0.37162,                 1.1284,                 1.7155,                 1.2256,                 1.3938,             0.00059429,             0.00059429,             0.00059429
                     68,                0.97287,                 1.0418,                0.94447,                 1.3992,                 0.9373,                0.45652,                0.47302,                0.32367,                 0.9373,                0.45652,                0.45697,                0.36597,                 1.0019,                 1.1542,                 1.3398,                 1.3029,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.1844,                 1.0141,                 1.0148,                  1.517,                0.97803,                0.47321,                0.52418,                0.35036,                0.97803,                0.47321,                0.48591,                0.39288,                 1.0181,                 1.0823,                 1.0939,                 1.2859,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.0735,                 1.0544,                0.92481,                 1.4446,                0.97737,                0.47826,                0.73617,                0.51118,                0.97737,                0.47826,                0.48742,                0.41727,                0.84933,                 1.0089,                0.83609,                 1.1638,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.1384,                 1.0534,                0.92923,                 1.4978,                0.93629,                0.45652,                0.71946,                0.51299,                0.93629,                0.45652,                0.47071,                0.40875,                0.78355,                  1.026,                 1.2928,                  1.126,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.0503,                 1.0028,                0.95578,                 1.4723,                0.94225,                0.49945,                 0.9764,                0.71428,                0.94225,                0.49945,                 0.4789,                0.41633,                0.74894,                0.88612,                 1.4491,                 1.0978,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.0224,                0.88947,                0.87844,                 1.4606,                 0.9486,                0.47826,                0.98019,                0.70419,                 0.9486,                0.47826,                0.48269,                0.41274,                0.84188,                0.89999,                 1.3492,                 1.1251,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.0425,                 1.2237,                0.93758,                 1.4338,                0.44136,                      1,                0.97852,                0.71926,                0.96428,                0.45652,                0.48287,                0.42137,                0.74084,                0.84838,                 1.1561,                 1.1153,             0.00047876,             0.00047876,             0.00047876
                     75,                 0.9908,                0.84131,                 0.8733,                 1.4144,                0.50802,                      1,                0.98038,                0.68382,                0.97167,                0.45652,                0.48288,                0.42968,                0.72656,                0.86226,                0.98584,                  1.117,             0.00046226,             0.00046226,             0.00046226
                     76,                0.97748,                0.82309,                0.88729,                 1.3996,                0.66255,                      1,                0.98333,                0.73862,                0.97877,                    0.5,                0.48583,                0.42538,                 0.7423,                0.87004,                0.79402,                 1.1321,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.1014,                0.89763,                0.94798,                 1.6039,                0.64269,                      1,                0.98333,                0.68908,                0.97731,                    0.5,                0.48583,                0.43207,                0.68557,                0.84693,                 0.7499,                 1.1045,             0.00042925,             0.00042925,             0.00042925
                     78,                0.90591,                 1.1622,                0.84761,                 1.3846,                0.67547,                      1,                0.73458,                0.52929,                0.97452,                    0.5,                0.48583,                0.43059,                0.71614,                0.88989,                0.74534,                 1.1158,             0.00041275,             0.00041275,             0.00041275
                     79,                0.99161,                0.94429,                0.90447,                 1.3983,                0.66635,                      1,                0.97979,                 0.7306,                0.66635,                      1,                0.97979,                0.45858,                0.69623,                0.94343,                0.71549,                 1.1148,             0.00039625,             0.00039625,             0.00039625
